keyword,priority,volume,kd,cpc,intent,seed,_topic
application on mac,P1,590,16,2.15,I,best apps for mac,T16_DesktopApp
noter download,P1,590,16,0.84,I,offline note taking app,T18_Offline
how to do speech to text on mac,P1,590,16,1.6,I,speech to text,T19_AEO_Questions
animal of the weasel family,P1,590,17,0,I,otter alternative,T01_Competitors
example of meeting notes template,P1,590,17,1.15,I,meeting minutes template,T09_Minutes
meeting minutes sample pdf,P1,590,17,0.62,I,meeting minutes template,T09_Minutes
template action items,P1,590,17,2.16,I,action items from meeting,T11_ActionItems
actionable items template,P1,590,17,2.16,I,action items from meeting,T11_ActionItems
template for action items,P1,590,17,2.16,I,action items from meeting,T11_ActionItems
follow up from meeting,P1,590,17,0,I,meeting follow up,T11_ActionItems
follow up on meeting,P1,590,17,0,I,meeting follow up,T11_ActionItems
follow up meetings,P1,590,17,0,I,meeting follow up,T11_ActionItems
follow up the meeting,P1,590,17,0,I,meeting follow up,T11_ActionItems
follow up on the meeting,P1,590,17,0,I,meeting follow up,T11_ActionItems
meeting follow-up,P1,590,17,0,I,meeting follow up,T11_ActionItems
meeting follow up,P1,590,17,0,I,post meeting follow up,T11_ActionItems
1-1 meeting,P1,590,17,0,I,one on one meeting notes,T14_ProfessionalUseCases
1 1 meeting,P1,590,17,0,I,one on one meeting notes,T14_ProfessionalUseCases
dragon speech recognition software,P1,590,17,1.55,I,speech recognition software,T15_STT
speech recognition software dragon,P1,590,17,1.55,I,speech recognition software,T15_STT
windows mac download free,P1,590,17,0.76,I,best apps for mac,T16_DesktopApp
windows voice typing,P1,590,17,1.13,I,windows speech to text,T17_Windows
voice recorders,P1,590,17,0.44,"L,T",best meeting recorder,T19_AEO_Questions
record a meeting app,P1,590,18,3.86,I,best ai notetaker,T02_VS
self-hosted llm,P1,590,18,1.94,I,local llm,T04_PrivacyOffline
can i record a zoom meeting,P1,590,18,0.19,I,zoom meeting recorder,T06_Integrations
follow up meeting,P1,590,18,0,I,meeting follow up,T11_ActionItems
script call,P1,590,18,5.42,I,sales call transcript,T13_UseCases
best email app for macbook,P1,590,18,2.64,"I,N",best apps for mac,T16_DesktopApp
best mac app for email,P1,590,18,2.64,"I,N",best apps for mac,T16_DesktopApp
best mail app for macos,P1,590,18,2.64,"I,N",macos productivity,T16_DesktopApp
how to turn off text to speech on chromebook,P1,590,18,0,I,speech to text,T19_AEO_Questions
record a meeting app,P1,590,18,3.86,I,best meeting recorder,T19_AEO_Questions
mustelids list,P1,590,19,0,I,otter alternative,T01_Competitors
list of mustelids,P1,590,19,0,I,otter alternative,T01_Competitors
mustelidae list,P1,590,19,0,I,otter alternative,T01_Competitors
how do you write a transcript,P1,590,19,1.34,I,meeting audio transcription,T05_Transcription
video recorder with zoom,P1,590,19,0.51,I,zoom meeting recorder,T06_Integrations
windows software for mac free download,P1,590,19,0.76,I,best apps for mac,T16_DesktopApp
best mail app for mac,P1,590,19,2.64,I,best apps for mac,T16_DesktopApp
best app for mail on mac,P1,590,19,2.64,I,best apps for mac,T16_DesktopApp
screencast for mac,P1,590,19,1.02,I,mac recording software,T16_DesktopApp
best notebooks for note taking,P1,590,19,0.2,I,offline note taking app,T18_Offline
teams ai meeting notes,P1,590,20,2.47,I,ai meeting notes,T03_CoreProduct
best voice to text apps,P1,590,20,1.56,I,offline speech to text,T04_PrivacyOffline
how to share zoom recording,P1,590,20,0,I,zoom meeting recorder,T06_Integrations
how do i share a zoom recording,P1,590,20,0,I,zoom meeting recorder,T06_Integrations
meeting note sample,P1,590,20,1.15,I,meeting minutes template,T09_Minutes
examples of meeting notes,P1,590,20,1.15,I,meeting minutes template,T09_Minutes
meeting agenda template pdf,P1,590,20,1.44,I,meeting notes template,T09_Minutes
action items templates,P1,590,20,2.16,I,action items from meeting,T11_ActionItems
following up with the meeting,P1,590,20,0,I,meeting follow up,T11_ActionItems
1 on 1 agenda,P1,590,20,0.16,I,one on one meeting notes,T14_ProfessionalUseCases
one one meeting agenda,P1,590,20,0.16,I,one on one meeting notes,T14_ProfessionalUseCases
agenda for 1 on 1 meeting,P1,590,20,0.16,I,one on one meeting notes,T14_ProfessionalUseCases
how to use speech to text on mac,P1,590,20,1.6,I,speech to text,T19_AEO_Questions
ai offline,P1,540,15,1.59,I,offline ai,T04_PrivacyOffline
manage meetings,P1,500,12,6,I,how to run effective meetings,T12_Guides
record zoom meeting,P1,540,19,2.89,I,zoom meeting recorder,T06_Integrations
managing meeting,P1,500,15,6,I,how to run effective meetings,T12_Guides
cold call script,P1,500,16,1.5,I,sales call transcript,T13_UseCases
cold call scripts,P1,500,16,1.5,I,sales call transcript,T13_UseCases
script cold call,P1,500,16,1.5,I,sales call transcript,T13_UseCases
